Epoch, Train Loss, Train Accuracy, Train Precision, Train Recall, Train F1, Val Loss, Val Accuracy, Val Precision, Val Recall, Val F1
1, 0.9219, 0.6629, 0.6315, 0.5932, 0.6026, 0.9219, 0.6843, 0.6839, 0.5510, 0.5499
2, 0.5888, 0.7748, 0.7521, 0.7306, 0.7378, 0.6702, 0.7318, 0.6821, 0.6971, 0.6849
3, 0.4866, 0.8132, 0.8020, 0.7739, 0.7840, 0.5518, 0.7755, 0.7349, 0.7509, 0.7409
4, 0.4421, 0.8287, 0.8094, 0.7846, 0.7941, 0.6280, 0.7774, 0.7535, 0.7307, 0.7387
5, 0.4322, 0.8273, 0.7949, 0.7767, 0.7840, 0.5821, 0.7956, 0.7488, 0.7547, 0.7510
6, 0.4258, 0.8323, 0.8022, 0.7966, 0.7988, 0.5079, 0.8029, 0.7936, 0.7548, 0.7642
7, 0.2941, 0.8904, 0.8695, 0.8702, 0.8697, 0.5511, 0.8120, 0.7581, 0.7845, 0.7661
8, 0.2891, 0.8945, 0.8763, 0.8692, 0.8724, 0.4904, 0.8248, 0.7910, 0.8130, 0.8000
9, 0.2797, 0.8954, 0.8725, 0.8762, 0.8742, 0.5931, 0.8047, 0.7669, 0.7685, 0.7672
10, 0.2532, 0.9059, 0.8886, 0.8924, 0.8904, 0.5448, 0.8175, 0.7766, 0.7793, 0.7779
11, 0.1832, 0.9338, 0.9291, 0.9259, 0.9273, 0.5509, 0.8248, 0.7881, 0.8040, 0.7947
12, 0.1850, 0.9338, 0.9221, 0.9234, 0.9227, 0.5901, 0.8285, 0.7916, 0.7963, 0.7934
13, 0.1413, 0.9466, 0.9331, 0.9351, 0.9341, 0.7718, 0.7938, 0.7516, 0.7978, 0.7594
14, 0.0982, 0.9639, 0.9508, 0.9569, 0.9537, 0.7658, 0.8139, 0.7672, 0.8019, 0.7780
15, 0.1259, 0.9534, 0.9436, 0.9422, 0.9428, 0.6355, 0.8084, 0.7611, 0.7533, 0.7563
16, 0.1050, 0.9616, 0.9539, 0.9555, 0.9547, 0.6326, 0.8339, 0.7965, 0.8063, 0.8006
17, 0.1284, 0.9507, 0.9426, 0.9406, 0.9416, 0.8763, 0.7920, 0.7406, 0.7606, 0.7483
18, 0.1705, 0.9466, 0.9464, 0.9396, 0.9428, 0.6599, 0.8175, 0.7848, 0.7882, 0.7861
19, 0.1380, 0.9671, 0.9581, 0.9624, 0.9602, 0.6958, 0.8102, 0.7721, 0.7692, 0.7696
20, 0.2127, 0.9255, 0.9146, 0.9110, 0.9128, 0.6240, 0.8084, 0.7598, 0.7848, 0.7692
21, 0.1016, 0.9667, 0.9616, 0.9599, 0.9607, 0.6292, 0.8339, 0.7973, 0.8046, 0.8007
22, 0.0589, 0.9799, 0.9789, 0.9768, 0.9779, 0.8430, 0.8047, 0.7507, 0.7711, 0.7564
23, 0.0900, 0.9753, 0.9728, 0.9708, 0.9717, 0.7260, 0.8084, 0.7603, 0.7876, 0.7703
24, 0.1314, 0.9571, 0.9510, 0.9527, 0.9518, 0.6269, 0.8230, 0.7764, 0.7962, 0.7848
25, 0.0759, 0.9740, 0.9732, 0.9676, 0.9703, 0.6214, 0.8285, 0.7929, 0.7999, 0.7960
26, 0.0544, 0.9868, 0.9848, 0.9835, 0.9842, 0.7202, 0.8358, 0.7933, 0.7897, 0.7905
27, 0.0328, 0.9899, 0.9893, 0.9879, 0.9886, 0.6933, 0.8339, 0.7967, 0.8082, 0.8018
28, 0.0142, 0.9963, 0.9952, 0.9967, 0.9959, 0.6859, 0.8394, 0.8026, 0.7938, 0.7979
29, 0.0071, 0.9977, 0.9972, 0.9974, 0.9973, 0.6996, 0.8504, 0.8306, 0.8180, 0.8237
30, 0.0083, 0.9991, 0.9993, 0.9991, 0.9992, 0.7004, 0.8504, 0.8190, 0.8185, 0.8188
